fold,metric_type,metric,value_mitig,value_nomitig,value_pol
0,fairness,Demographic Parity Ratio,0.9722445603474025,0.844433751207478,0.9784704961796925
0,fairness,Equalized Odds Ratio,0.8952978056426333,0.8162359283335975,0.8304763134116432
0,performance,Accuracy,0.7086851628468034,0.7303980699638118,0.7273823884197829
0,performance,F1,0.6115802171290712,0.6405307599517491,0.6356291996071453
0,performance,Precision,0.6114908548110383,0.640418148862546,0.6351966191394702
0,performance,Recall,0.6116703170386939,0.6406441741615795,0.6360745106991572
0,performance,Roc Auc,0.6116703170386939,0.6406441741615795,0.6360745106991573
1,fairness,Demographic Parity Ratio,0.9832378576488344,0.837819008113873,0.9014598540145985
1,fairness,Equalized Odds Ratio,0.9028409090909089,0.7565405016632203,0.8460000000000001
1,performance,Accuracy,0.7303980699638118,0.744270205066345,0.7346200241254524
1,performance,F1,0.6339690126696309,0.6530942567941005,0.6470100953796606
1,performance,Precision,0.6315899155754151,0.6502539328626284,0.647246750477372
1,performance,Recall,0.6367798304155785,0.6564303446497082,0.6467766962900268
1,performance,Roc Auc,0.6367798304155785,0.6564303446497082,0.6467766962900268
2,fairness,Demographic Parity Ratio,0.9808684651706476,0.8577956557298616,0.9904241161835331
2,fairness,Equalized Odds Ratio,0.9607223689173897,0.7425130795598053,0.8266705859298452
2,performance,Accuracy,0.7364294330518697,0.7599517490952955,0.7219541616405307
2,performance,F1,0.6457062272040246,0.6775895090681676,0.6373012148357924
2,performance,Precision,0.6444406750089658,0.6759085067508981,0.640404578894823
2,performance,Recall,0.6470719440365089,0.6794001768597913,0.6347549267682782
2,performance,Roc Auc,0.6470719440365089,0.6794001768597913,0.6347549267682782
3,fairness,Demographic Parity Ratio,0.9613012589756775,0.865800803154734,0.9190306008487826
3,fairness,Equalized Odds Ratio,0.841448970191485,0.8334006734006735,0.7259259259259259
3,performance,Accuracy,0.7117008443908324,0.7310012062726177,0.7352231604342582
3,performance,F1,0.6281269238276851,0.6530221925254134,0.6429099525833839
3,performance,Precision,0.6327637177834426,0.6584768680514496,0.6412284697922825
3,performance,Recall,0.624778403117752,0.6489449893141566,0.6447774244833069
3,performance,Roc Auc,0.624778403117752,0.6489449893141566,0.6447774244833069
4,fairness,Demographic Parity Ratio,0.9490609929078015,0.8261845104118005,0.9880663290085341
4,fairness,Equalized Odds Ratio,0.9897773279352227,0.7513560804899388,0.8380836198292114
4,performance,Accuracy,0.7448733413751508,0.7496984318455971,0.7478890229191797
4,performance,F1,0.6576177934431592,0.6640931070423428,0.660831843959275
4,performance,Precision,0.6564927449136853,0.662921032480687,0.6593065746493617
4,performance,Recall,0.6588119107949448,0.665335463258786,0.6624815872984489
4,performance,Roc Auc,0.6588119107949448,0.665335463258786,0.6624815872984489
